"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":6466},{""page_index"":1,""viewing_time"":2663}]","9130","instructions","0","9143","0.0-0.0","231","","",""
"","14278","audio-button-response","1","23429","0.0-1.0","231","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":5916}]","5916","instructions","2","29348","0.0-2.0","231","","",""
"","null","audio-button-response","3","66657","0.0-3.0-0.0","231","sound/silentMoon_Lyrics_10.mp3","null",""
"","29922","survey-likert","4","96587","0.0-3.0-1.0","231","","","{""Q0"":1,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","129404","0.0-3.0-0.1","231","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","11754","survey-likert","6","141163","0.0-3.0-1.1","231","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","7","172741","0.0-3.0-0.2","231","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","25534","survey-likert","8","198278","0.0-3.0-1.2","231","","","{""Q0"":0,""Q1"":0,""Q2"":7,""Q3"":7,""Q4"":2}"
"","null","audio-button-response","9","237047","0.0-3.0-0.3","231","sound/thatsAll_Melody_31.mp3","null",""
"","22150","survey-likert","10","259203","0.0-3.0-1.3","231","","","{""Q0"":8,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","11","293484","0.0-3.0-0.4","231","sound/goognightMoon_Melody_25.mp3","null",""
"","12912","survey-likert","12","306400","0.0-3.0-1.4","231","","","{""Q0"":4,""Q1"":7,""Q2"":1,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","13","343700","0.0-3.0-0.5","231","sound/bambi_Lyrics_08.mp3","null",""
"","11700","survey-likert","14","355405","0.0-3.0-1.5","231","","","{""Q0"":4,""Q1"":0,""Q2"":7,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","15","391229","0.0-3.0-0.6","231","sound/toThisWeveCome_Melody_29.mp3","null",""
"","10066","survey-likert","16","401298","0.0-3.0-1.6","231","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","17","435635","0.0-3.0-0.7","231","sound/willowSong_Lyrics_06.mp3","null",""
"","6568","survey-likert","18","442207","0.0-3.0-1.7","231","","","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4,""Q4"":4}"
"","null","audio-button-response","19","479503","0.0-3.0-0.8","231","sound/takeYouAb_Lyrics_04.mp3","null",""
"","13964","survey-likert","20","493500","0.0-3.0-1.8","231","","","{""Q0"":6,""Q1"":2,""Q2"":0,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","21","527819","0.0-3.0-0.9","231","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","11192","survey-likert","22","539016","0.0-3.0-1.9","231","","","{""Q0"":4,""Q1"":7,""Q2"":3,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","23","573516","0.0-3.0-0.10","231","sound/theCage_Lyrics_14.mp3","null",""
"","14197","survey-likert","24","587718","0.0-3.0-1.10","231","","","{""Q0"":0,""Q1"":0,""Q2"":5,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","25","626482","0.0-3.0-0.11","231","sound/thatsAll_Lyrics_15.mp3","null",""
"","12075","survey-likert","26","638561","0.0-3.0-1.11","231","","","{""Q0"":7,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","27","675870","0.0-3.0-0.12","231","sound/dream_Melody_27.mp3","null",""
"","16204","survey-likert","28","692078","0.0-3.0-1.12","231","","","{""Q0"":5,""Q1"":5,""Q2"":5,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","29","720448","0.0-3.0-0.13","231","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","11928","survey-likert","30","732379","0.0-3.0-1.13","231","","","{""Q0"":4,""Q1"":8,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","31","763725","0.0-3.0-0.14","231","sound/theCrucifixion_Melody_21.mp3","null",""
"","12128","survey-likert","32","775857","0.0-3.0-1.14","231","","","{""Q0"":0,""Q1"":4,""Q2"":8,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","33","811662","0.0-3.0-0.15","231","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","29427","survey-likert","34","841093","0.0-3.0-1.15","231","","","{""Q0"":6,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","35","872437","0.0-3.0-0.16","231","sound/onMusic_Melody_17.mp3","null",""
"","17041","survey-likert","36","889517","0.0-3.0-1.16","231","","","{""Q0"":6,""Q1"":6,""Q2"":2,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","37","925323","0.0-4.0-0.0","231","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","10861","survey-likert","38","936187","0.0-4.0-1.0","231","","","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","39","967531","0.0-4.0-0.1","231","sound/onMusic_Lyrics_01.mp3","null",""
"","18113","survey-likert","40","985648","0.0-4.0-1.1","231","","","{""Q0"":7,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","41","1016998","0.0-4.0-0.2","231","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","14276","survey-likert","42","1031277","0.0-4.0-1.2","231","","","{""Q0"":0,""Q1"":4,""Q2"":8,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","43","1065815","0.0-4.0-0.3","231","sound/willowSong_Melody_22.mp3","null",""
"","27176","survey-likert","44","1092995","0.0-4.0-1.3","231","","","{""Q0"":5,""Q1"":2,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","45","1125831","0.0-4.0-0.4","231","sound/owlAPussyCat_Melody_18.mp3","null",""
"","11144","survey-likert","46","1136979","0.0-4.0-1.4","231","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","47","1171249","0.0-4.0-0.5","231","sound/goognightMoon_Lyrics_09.mp3","null",""
"","14930","survey-likert","48","1186183","0.0-4.0-1.5","231","","","{""Q0"":4,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","49","1222005","0.0-4.0-0.6","231","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","17346","survey-likert","50","1239381","0.0-4.0-1.6","231","","","{""Q0"":7,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","51","1276677","0.0-4.0-0.7","231","sound/bambi_Melody_24.mp3","null",""
"","14686","survey-likert","52","1291368","0.0-4.0-1.7","231","","","{""Q0"":8,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","53","1322945","0.0-4.0-0.8","231","sound/noMoreMissNice_Melody_32.mp3","null",""
"","13904","survey-likert","54","1336852","0.0-4.0-1.8","231","","","{""Q0"":8,""Q1"":0,""Q2"":6,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","55","1374152","0.0-4.0-0.9","231","sound/dream_Lyrics_11.mp3","null",""
"","13366","survey-likert","56","1387521","0.0-4.0-1.9","231","","","{""Q0"":7,""Q1"":7,""Q2"":3,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","57","1422018","0.0-4.0-0.10","231","sound/theCage_Melody_30.mp3","null",""
"","33007","survey-likert","58","1455029","0.0-4.0-1.10","231","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","59","1483405","0.0-4.0-0.11","231","sound/iWishYouLove_Melody_28.mp3","null",""
"","7738","survey-likert","60","1491147","0.0-4.0-1.11","231","","","{""Q0"":5,""Q1"":5,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","61","1525471","0.0-4.0-0.12","231","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","10576","survey-likert","62","1536049","0.0-4.0-1.12","231","","","{""Q0"":0,""Q1"":6,""Q2"":6,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","63","1573360","0.0-4.0-0.13","231","sound/takeYouAb_Melody_20.mp3","null",""
"","12545","survey-likert","64","1585910","0.0-4.0-1.13","231","","","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","65","1623217","0.0-4.0-0.14","231","sound/silentMoon_Melody_26.mp3","null",""
"","15318","survey-likert","66","1638575","0.0-4.0-1.14","231","","","{""Q0"":4,""Q1"":8,""Q2"":2,""Q3"":0,""Q4"":1}"
"","7738","survey-text","67","1646318","0.0-5.0","231","","","{""Q0"":""no""}"
"","3669","survey-text","68","1649989","0.0-6.0","231","","","{""Q0"":""yes""}"
"","5262","survey-text","69","1655253","0.0-7.0","231","","","{""Q0"":""no""}"
