"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":9720},{""page_index"":1,""viewing_time"":8520}]","18240","instructions","0","18246","0.0-0.0","027","","",""
"","4934","audio-button-response","1","23182","0.0-1.0","027","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":32822}]","32822","instructions","2","56005","0.0-2.0","027","","",""
"","null","audio-button-response","3","87389","0.0-3.0-0.0","027","sound/onMusic_Melody_17.mp3","null",""
"","17590","survey-likert","4","104986","0.0-3.0-1.0","027","","","{""Q0"":5,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","5","137858","0.0-3.0-0.1","027","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","19284","survey-likert","6","157144","0.0-3.0-1.1","027","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","7","185565","0.0-3.0-0.2","027","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","17880","survey-likert","8","203447","0.0-3.0-1.2","027","","","{""Q0"":6,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","9","240813","0.0-3.0-0.3","027","sound/dream_Melody_27.mp3","null",""
"","14384","survey-likert","10","255200","0.0-3.0-1.3","027","","","{""Q0"":8,""Q1"":8,""Q2"":4,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","11","291088","0.0-3.0-0.4","027","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","14942","survey-likert","12","306031","0.0-3.0-1.4","027","","","{""Q0"":6,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","13","343378","0.0-3.0-0.5","027","sound/silentMoon_Lyrics_10.mp3","null",""
"","10509","survey-likert","14","353888","0.0-3.0-1.5","027","","","{""Q0"":4,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","15","388275","0.0-3.0-0.6","027","sound/willowSong_Lyrics_06.mp3","null",""
"","10314","survey-likert","16","398592","0.0-3.0-1.6","027","","","{""Q0"":1,""Q1"":0,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","432898","0.0-3.0-0.7","027","sound/goognightMoon_Melody_25.mp3","null",""
"","10518","survey-likert","18","443417","0.0-3.0-1.7","027","","","{""Q0"":0,""Q1"":3,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","19","475078","0.0-3.0-0.8","027","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","16792","survey-likert","20","491873","0.0-3.0-1.8","027","","","{""Q0"":2,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":3}"
"","null","audio-button-response","21","530710","0.0-3.0-0.9","027","sound/thatsAll_Lyrics_15.mp3","null",""
"","17280","survey-likert","22","547992","0.0-3.0-1.9","027","","","{""Q0"":5,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","23","582548","0.0-3.0-0.10","027","sound/theCage_Lyrics_14.mp3","null",""
"","12235","survey-likert","24","594786","0.0-3.0-1.10","027","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","25","633622","0.0-3.0-0.11","027","sound/thatsAll_Melody_31.mp3","null",""
"","8738","survey-likert","26","642360","0.0-3.0-1.11","027","","","{""Q0"":6,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","27","676744","0.0-3.0-0.12","027","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","12333","survey-likert","28","689080","0.0-3.0-1.12","027","","","{""Q0"":5,""Q1"":7,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","29","726418","0.0-3.0-0.13","027","sound/bambi_Lyrics_08.mp3","null",""
"","12276","survey-likert","30","738695","0.0-3.0-1.13","027","","","{""Q0"":4,""Q1"":4,""Q2"":3,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","31","770078","0.0-3.0-0.14","027","sound/theCrucifixion_Melody_21.mp3","null",""
"","10857","survey-likert","32","780937","0.0-3.0-1.14","027","","","{""Q0"":1,""Q1"":6,""Q2"":8,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","33","816801","0.0-3.0-0.15","027","sound/toThisWeveCome_Melody_29.mp3","null",""
"","11902","survey-likert","34","828704","0.0-3.0-1.15","027","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":2}"
"","null","audio-button-response","35","866059","0.0-3.0-0.16","027","sound/takeYouAb_Lyrics_04.mp3","null",""
"","11477","survey-likert","36","877536","0.0-3.0-1.16","027","","","{""Q0"":4,""Q1"":2,""Q2"":0,""Q3"":0,""Q4"":1}"
