"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":58880},{""page_index"":1,""viewing_time"":3408}]","62288","instructions","0","62302","0.0-0.0","218","","",""
"","6740","audio-button-response","1","69051","0.0-1.0","218","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":4554}]","4555","instructions","2","73608","0.0-2.0","218","","",""
"","null","audio-button-response","3","106447","0.0-3.0-0.0","218","sound/owlAPussyCat_Melody_18.mp3","null",""
"","40512","survey-likert","4","146965","0.0-3.0-1.0","218","","","{""Q0"":3,""Q1"":2,""Q2"":6,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","5","182766","0.0-3.0-0.1","218","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","16310","survey-likert","6","199083","0.0-3.0-1.1","218","","","{""Q0"":7,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","7","230424","0.0-3.0-0.2","218","sound/onMusic_Lyrics_01.mp3","null",""
"","22379","survey-likert","8","252808","0.0-3.0-1.2","218","","","{""Q0"":7,""Q1"":8,""Q2"":2,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","9","290113","0.0-3.0-0.3","218","sound/bambi_Melody_24.mp3","null",""
"","15169","survey-likert","10","305287","0.0-3.0-1.3","218","","","{""Q0"":8,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","11","342582","0.0-3.0-0.4","218","sound/takeYouAb_Melody_20.mp3","null",""
"","16289","survey-likert","12","358877","0.0-3.0-1.4","218","","","{""Q0"":7,""Q1"":6,""Q2"":1,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","13","393390","0.0-3.0-0.5","218","sound/theCage_Melody_30.mp3","null",""
"","31400","survey-likert","14","424795","0.0-3.0-1.5","218","","","{""Q0"":5,""Q1"":7,""Q2"":7,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","15","460645","0.0-3.0-0.6","218","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","15618","survey-likert","16","476268","0.0-3.0-1.6","218","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":8,""Q4"":7}"
"","null","audio-button-response","17","510805","0.0-3.0-0.7","218","sound/willowSong_Melody_22.mp3","null",""
"","13355","survey-likert","18","524163","0.0-3.0-1.7","218","","","{""Q0"":6,""Q1"":8,""Q2"":5,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","19","558433","0.0-3.0-0.8","218","sound/goognightMoon_Lyrics_09.mp3","null",""
"","10631","survey-likert","20","569066","0.0-3.0-1.8","218","","","{""Q0"":2,""Q1"":8,""Q2"":6,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","21","597422","0.0-3.0-0.9","218","sound/iWishYouLove_Melody_28.mp3","null",""
"","12958","survey-likert","22","610384","0.0-3.0-1.9","218","","","{""Q0"":5,""Q1"":8,""Q2"":5,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","23","641971","0.0-3.0-0.10","218","sound/noMoreMissNice_Melody_32.mp3","null",""
"","13894","survey-likert","24","655868","0.0-3.0-1.10","218","","","{""Q0"":7,""Q1"":1,""Q2"":5,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","25","687219","0.0-3.0-0.11","218","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","26943","survey-likert","26","714166","0.0-3.0-1.11","218","","","{""Q0"":0,""Q1"":3,""Q2"":8,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","27","748487","0.0-3.0-0.12","218","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
