"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":8122},{""page_index"":1,""viewing_time"":10911}]","19034","instructions","0","19040","0.0-0.0","082","","",""
"","9732","audio-button-response","1","28776","0.0-1.0","082","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":32366}]","32366","instructions","2","61144","0.0-2.0","082","","",""
"","null","audio-button-response","3","98476","0.0-3.0-0.0","082","sound/bambi_Melody_24.mp3","null",""
"","50698","survey-likert","4","149177","0.0-3.0-1.0","082","","","{""Q0"":4,""Q1"":4,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","183737","0.0-3.0-0.1","082","sound/willowSong_Melody_22.mp3","null",""
"","25192","survey-likert","6","208929","0.0-3.0-1.1","082","","","{""Q0"":1,""Q1"":7,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","7","240326","0.0-3.0-0.2","082","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","30538","survey-likert","8","270865","0.0-3.0-1.2","082","","","{""Q0"":0,""Q1"":2,""Q2"":8,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","9","303742","0.0-3.0-0.3","082","sound/owlAPussyCat_Melody_18.mp3","null",""
"","21752","survey-likert","10","325496","0.0-3.0-1.3","082","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","11","360077","0.0-3.0-0.4","082","sound/theCage_Melody_30.mp3","null",""
"","25411","survey-likert","12","385490","0.0-3.0-1.4","082","","","{""Q0"":0,""Q1"":0,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","13","421373","0.0-3.0-0.5","082","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","27432","survey-likert","14","448809","0.0-3.0-1.5","082","","","{""Q0"":7,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","15","483184","0.0-3.0-0.6","082","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","19037","survey-likert","16","502225","0.0-3.0-1.6","082","","","{""Q0"":0,""Q1"":4,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","533853","0.0-3.0-0.7","082","sound/noMoreMissNice_Melody_32.mp3","null",""
"","25329","survey-likert","18","559185","0.0-3.0-1.7","082","","","{""Q0"":4,""Q1"":2,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","19","596519","0.0-3.0-0.8","082","sound/dream_Lyrics_11.mp3","null",""
"","19353","survey-likert","20","615875","0.0-3.0-1.8","082","","","{""Q0"":5,""Q1"":8,""Q2"":3,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","21","650194","0.0-3.0-0.9","082","sound/goognightMoon_Lyrics_09.mp3","null",""
"","19419","survey-likert","22","669617","0.0-3.0-1.9","082","","","{""Q0"":0,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","23","706973","0.0-3.0-0.10","082","sound/silentMoon_Melody_26.mp3","null",""
"","18538","survey-likert","24","725514","0.0-3.0-1.10","082","","","{""Q0"":1,""Q1"":7,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","25","762846","0.0-3.0-0.11","082","sound/takeYouAb_Melody_20.mp3","null",""
"","11402","survey-likert","26","774248","0.0-3.0-1.11","082","","","{""Q0"":7,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","27","802658","0.0-3.0-0.12","082","sound/iWishYouLove_Melody_28.mp3","null",""
"","19991","survey-likert","28","822648","0.0-3.0-1.12","082","","","{""Q0"":4,""Q1"":5,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","29","858517","0.0-3.0-0.13","082","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","12419","survey-likert","30","870937","0.0-3.0-1.13","082","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","31","902328","0.0-3.0-0.14","082","sound/onMusic_Lyrics_01.mp3","null",""
"","20808","survey-likert","32","923137","0.0-3.0-1.14","082","","","{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","33","960467","0.0-4.0-0.0","082","sound/dream_Melody_27.mp3","null",""
"","26124","survey-likert","34","986593","0.0-4.0-1.0","082","","","{""Q0"":4,""Q1"":5,""Q2"":3,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","35","1023952","0.0-4.0-0.1","082","sound/silentMoon_Lyrics_10.mp3","null",""
"","13053","survey-likert","36","1037008","0.0-4.0-1.1","082","","","{""Q0"":4,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","37","1072869","0.0-4.0-0.2","082","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","13282","survey-likert","38","1086153","0.0-4.0-1.2","082","","","{""Q0"":5,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":4}"
"","null","audio-button-response","39","1120517","0.0-4.0-0.3","082","sound/willowSong_Lyrics_06.mp3","null",""
"","22667","survey-likert","40","1143185","0.0-4.0-1.3","082","","","{""Q0"":4,""Q1"":5,""Q2"":3,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","41","1180556","0.0-4.0-0.4","082","sound/takeYouAb_Lyrics_04.mp3","null",""
