"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":104860},{""page_index"":1,""viewing_time"":8030}]","112891","instructions","0","112908","0.0-0.0","206","","",""
"","56777","audio-button-response","1","169695","0.0-1.0","206","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":18946}]","18946","instructions","2","188645","0.0-2.0","206","","",""
"","null","audio-button-response","3","223145","0.0-3.0-0.0","206","sound/theCage_Melody_30.mp3","null",""
"","34548","survey-likert","4","257698","0.0-3.0-1.0","206","","","{""Q0"":6,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","292001","0.0-3.0-0.1","206","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","26996","survey-likert","6","319002","0.0-3.0-1.1","206","","","{""Q0"":1,""Q1"":7,""Q2"":8,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","7","350587","0.0-3.0-0.2","206","sound/noMoreMissNice_Melody_32.mp3","null",""
"","41300","survey-likert","8","391928","0.0-3.0-1.2","206","","","{""Q0"":5,""Q1"":0,""Q2"":5,""Q3"":2,""Q4"":5}"
"","null","audio-button-response","9","426191","0.0-3.0-0.3","206","sound/goognightMoon_Lyrics_09.mp3","null",""
"","21219","survey-likert","10","447416","0.0-3.0-1.3","206","","","{""Q0"":2,""Q1"":7,""Q2"":4,""Q3"":0,""Q4"":5}"
"","null","audio-button-response","11","483229","0.0-3.0-0.4","206","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","23521","survey-likert","12","506754","0.0-3.0-1.4","206","","","{""Q0"":0,""Q1"":0,""Q2"":4,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","13","541285","0.0-3.0-0.5","206","sound/willowSong_Melody_22.mp3","null",""
"","11564","survey-likert","14","552856","0.0-3.0-1.5","206","","","{""Q0"":5,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","15","585727","0.0-3.0-0.6","206","sound/owlAPussyCat_Melody_18.mp3","null",""
"","26026","survey-likert","16","611757","0.0-3.0-1.6","206","","","{""Q0"":4,""Q1"":4,""Q2"":1,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","17","647576","0.0-3.0-0.7","206","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","16592","survey-likert","18","664172","0.0-3.0-1.7","206","","","{""Q0"":8,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","19","701481","0.0-3.0-0.8","206","sound/silentMoon_Melody_26.mp3","null",""
"","12475","survey-likert","20","713961","0.0-3.0-1.8","206","","","{""Q0"":5,""Q1"":8,""Q2"":3,""Q3"":0,""Q4"":5}"
"","null","audio-button-response","21","742329","0.0-3.0-0.9","206","sound/iWishYouLove_Melody_28.mp3","null",""
"","15967","survey-likert","22","758334","0.0-3.0-1.9","206","","","{""Q0"":0,""Q1"":8,""Q2"":7,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","23","789678","0.0-3.0-0.10","206","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","11900","survey-likert","24","801582","0.0-3.0-1.10","206","","","{""Q0"":0,""Q1"":5,""Q2"":8,""Q3"":0,""Q4"":0}"
