"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":90816},{""page_index"":1,""viewing_time"":10774}]","101591","instructions","0","101600","0.0-0.0","094","","",""
"","23453","audio-button-response","1","125054","0.0-1.0","094","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":5568}]","5568","instructions","2","130622","0.0-2.0","094","","",""
"","null","audio-button-response","3","165019","0.0-3.0-0.0","094","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","36669","survey-likert","4","201693","0.0-3.0-1.0","094","","","{""Q0"":3,""Q1"":6,""Q2"":6,""Q3"":2,""Q4"":1}"
"","null","audio-button-response","5","236043","0.0-3.0-0.1","094","sound/goognightMoon_Lyrics_09.mp3","null",""
"","32707","survey-likert","6","268752","0.0-3.0-1.1","094","","","{""Q0"":2,""Q1"":1,""Q2"":5,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","7","303335","0.0-3.0-0.2","094","sound/willowSong_Melody_22.mp3","null",""
"","35456","survey-likert","8","338792","0.0-3.0-1.2","094","","","{""Q0"":3,""Q1"":2,""Q2"":4,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","9","371683","0.0-3.0-0.3","094","sound/owlAPussyCat_Melody_18.mp3","null",""
"","23147","survey-likert","10","394832","0.0-3.0-1.3","094","","","{""Q0"":4,""Q1"":3,""Q2"":5,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","11","426254","0.0-3.0-0.4","094","sound/onMusic_Lyrics_01.mp3","null",""
"","24496","survey-likert","12","450752","0.0-3.0-1.4","094","","","{""Q0"":5,""Q1"":6,""Q2"":0,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","13","479165","0.0-3.0-0.5","094","sound/iWishYouLove_Melody_28.mp3","null",""
"","26233","survey-likert","14","505400","0.0-3.0-1.5","094","","","{""Q0"":0,""Q1"":2,""Q2"":7,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","15","541272","0.0-3.0-0.6","094","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","17005","survey-likert","16","558280","0.0-3.0-1.6","094","","","{""Q0"":7,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","595639","0.0-3.0-0.7","094","sound/bambi_Melody_24.mp3","null",""
"","19839","survey-likert","18","615481","0.0-3.0-1.7","094","","","{""Q0"":8,""Q1"":6,""Q2"":0,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","19","652822","0.0-3.0-0.8","094","sound/dream_Lyrics_11.mp3","null",""
"","16687","survey-likert","20","669512","0.0-3.0-1.8","094","","","{""Q0"":6,""Q1"":8,""Q2"":5,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","21","706849","0.0-3.0-0.9","094","sound/takeYouAb_Melody_20.mp3","null",""
"","21716","survey-likert","22","728567","0.0-3.0-1.9","094","","","{""Q0"":3,""Q1"":2,""Q2"":0,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","23","765895","0.0-3.0-0.10","094","sound/silentMoon_Melody_26.mp3","null",""
"","13082","survey-likert","24","778977","0.0-3.0-1.10","094","","","{""Q0"":4,""Q1"":5,""Q2"":2,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","25","814842","0.0-3.0-0.11","094","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","22957","survey-likert","26","837801","0.0-3.0-1.11","094","","","{""Q0"":1,""Q1"":2,""Q2"":2,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","27","869178","0.0-3.0-0.12","094","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","24230","survey-likert","28","893408","0.0-3.0-1.12","094","","","{""Q0"":1,""Q1"":1,""Q2"":8,""Q3"":5,""Q4"":0}"
