"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":426348},{""page_index"":1,""viewing_time"":19105}]","445453","instructions","0","445460","0.0-0.0","040","","",""
"","12846","audio-button-response","1","458307","0.0-1.0","040","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":29998}]","29999","instructions","2","488307","0.0-2.0","040","","",""
"","null","audio-button-response","3","522696","0.0-3.0-0.0","040","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","33456","survey-likert","4","556156","0.0-3.0-1.0","040","","","{""Q0"":0,""Q1"":3,""Q2"":8,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","5","593510","0.0-3.0-0.1","040","sound/takeYouAb_Lyrics_04.mp3","null",""
"","26588","survey-likert","6","620101","0.0-3.0-1.1","040","","","{""Q0"":5,""Q1"":1,""Q2"":3,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","7","651505","0.0-3.0-0.2","040","sound/onMusic_Melody_17.mp3","null",""
"","21849","survey-likert","8","673356","0.0-3.0-1.2","040","","","{""Q0"":0,""Q1"":1,""Q2"":6,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","9","712187","0.0-3.0-0.3","040","sound/thatsAll_Melody_31.mp3","null",""
"","17736","survey-likert","10","729924","0.0-3.0-1.3","040","","","{""Q0"":6,""Q1"":4,""Q2"":0,""Q3"":4,""Q4"":6}"
"","null","audio-button-response","11","758355","0.0-3.0-0.4","040","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","18544","survey-likert","12","776901","0.0-3.0-1.4","040","","","{""Q0"":0,""Q1"":5,""Q2"":6,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","13","812750","0.0-3.0-0.5","040","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","17869","survey-likert","14","830620","0.0-3.0-1.5","040","","","{""Q0"":1,""Q1"":7,""Q2"":5,""Q3"":0,""Q4"":4}"
"","null","audio-button-response","15","864938","0.0-3.0-0.6","040","sound/goognightMoon_Melody_25.mp3","null",""
"","13512","survey-likert","16","878452","0.0-3.0-1.6","040","","","{""Q0"":0,""Q1"":4,""Q2"":7,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","17","911332","0.0-3.0-0.7","040","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","12526","survey-likert","18","923860","0.0-3.0-1.7","040","","","{""Q0"":1,""Q1"":0,""Q2"":5,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","19","961207","0.0-3.0-0.8","040","sound/bambi_Lyrics_08.mp3","null",""
"","15715","survey-likert","20","976924","0.0-3.0-1.8","040","","","{""Q0"":1,""Q1"":0,""Q2"":5,""Q3"":7,""Q4"":1}"
"","null","audio-button-response","21","1011505","0.0-3.0-0.9","040","sound/theCage_Lyrics_14.mp3","null",""
"","12905","survey-likert","22","1024411","0.0-3.0-1.9","040","","","{""Q0"":0,""Q1"":0,""Q2"":5,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","23","1060276","0.0-3.0-0.10","040","sound/toThisWeveCome_Melody_29.mp3","null",""
"","11271","survey-likert","24","1071548","0.0-3.0-1.10","040","","","{""Q0"":2,""Q1"":0,""Q2"":4,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","25","1105951","0.0-3.0-0.11","040","sound/willowSong_Lyrics_06.mp3","null",""
"","11331","survey-likert","26","1117284","0.0-3.0-1.11","040","","","{""Q0"":3,""Q1"":0,""Q2"":3,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","27","1148675","0.0-3.0-0.12","040","sound/theCrucifixion_Melody_21.mp3","null",""
"","22175","survey-likert","28","1170851","0.0-3.0-1.12","040","","","{""Q0"":4,""Q1"":8,""Q2"":2,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","29","1208189","0.0-3.0-0.13","040","sound/silentMoon_Lyrics_10.mp3","null",""
"","10923","survey-likert","30","1219115","0.0-3.0-1.13","040","","","{""Q0"":5,""Q1"":2,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","31","1250728","0.0-3.0-0.14","040","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","15384","survey-likert","32","1266115","0.0-3.0-1.14","040","","","{""Q0"":0,""Q1"":3,""Q2"":4,""Q3"":8,""Q4"":4}"
"","null","audio-button-response","33","1304925","0.0-3.0-0.15","040","sound/thatsAll_Lyrics_15.mp3","null",""
"","13213","survey-likert","34","1318139","0.0-3.0-1.15","040","","","{""Q0"":0,""Q1"":3,""Q2"":5,""Q3"":8,""Q4"":4}"
"","null","audio-button-response","35","1355485","0.0-3.0-0.16","040","sound/dream_Melody_27.mp3","null",""
"","15789","survey-likert","36","1371274","0.0-3.0-1.16","040","","","{""Q0"":4,""Q1"":4,""Q2"":3,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","37","1405880","0.0-4.0-0.0","040","sound/willowSong_Melody_22.mp3","null",""
"","12256","survey-likert","38","1418139","0.0-4.0-1.0","040","","","{""Q0"":0,""Q1"":3,""Q2"":4,""Q3"":2,""Q4"":2}"
"","null","audio-button-response","39","1455488","0.0-4.0-0.1","040","sound/takeYouAb_Melody_20.mp3","null",""
"","10162","survey-likert","40","1465650","0.0-4.0-1.1","040","","","{""Q0"":1,""Q1"":3,""Q2"":5,""Q3"":5,""Q4"":2}"
"","null","audio-button-response","41","1497295","0.0-4.0-0.2","040","sound/noMoreMissNice_Melody_32.mp3","null",""
"","8994","survey-likert","42","1506290","0.0-4.0-1.2","040","","","{""Q0"":3,""Q1"":1,""Q2"":3,""Q3"":5,""Q4"":4}"
"","null","audio-button-response","43","1537686","0.0-4.0-0.3","040","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","11139","survey-likert","44","1548827","0.0-4.0-1.3","040","","","{""Q0"":0,""Q1"":7,""Q2"":8,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","45","1584685","0.0-4.0-0.4","040","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","12037","survey-likert","46","1596723","0.0-4.0-1.4","040","","","{""Q0"":0,""Q1"":0,""Q2"":8,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","47","1631284","0.0-4.0-0.5","040","sound/theCage_Melody_30.mp3","null",""
"","13157","survey-likert","48","1644443","0.0-4.0-1.5","040","","","{""Q0"":0,""Q1"":0,""Q2"":6,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","49","1681784","0.0-4.0-0.6","040","sound/bambi_Melody_24.mp3","null",""
"","11568","survey-likert","50","1693354","0.0-4.0-1.6","040","","","{""Q0"":6,""Q1"":3,""Q2"":1,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","51","1727765","0.0-4.0-0.7","040","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","20780","survey-likert","52","1748546","0.0-4.0-1.7","040","","","{""Q0"":0,""Q1"":3,""Q2"":8,""Q3"":4,""Q4"":2}"
"","null","audio-button-response","53","1781443","0.0-4.0-0.8","040","sound/owlAPussyCat_Melody_18.mp3","null",""
"","11965","survey-likert","54","1793410","0.0-4.0-1.8","040","","","{""Q0"":2,""Q1"":0,""Q2"":6,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","55","1830771","0.0-4.0-0.9","040","sound/dream_Lyrics_11.mp3","null",""
"","15685","survey-likert","56","1846457","0.0-4.0-1.9","040","","","{""Q0"":4,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","57","1882341","0.0-4.0-0.10","040","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","11658","survey-likert","58","1894002","0.0-4.0-1.10","040","","","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","59","1928314","0.0-4.0-0.11","040","sound/goognightMoon_Lyrics_09.mp3","null",""
"","11517","survey-likert","60","1939834","0.0-4.0-1.11","040","","","{""Q0"":4,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","61","1971259","0.0-4.0-0.12","040","sound/onMusic_Lyrics_01.mp3","null",""
"","9916","survey-likert","62","1981178","0.0-4.0-1.12","040","","","{""Q0"":5,""Q1"":1,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","63","2009598","0.0-4.0-0.13","040","sound/iWishYouLove_Melody_28.mp3","null",""
"","12200","survey-likert","64","2021802","0.0-4.0-1.13","040","","","{""Q0"":1,""Q1"":5,""Q2"":6,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","65","2059155","0.0-4.0-0.14","040","sound/silentMoon_Melody_26.mp3","null",""
"","10612","survey-likert","66","2069769","0.0-4.0-1.14","040","","","{""Q0"":4,""Q1"":3,""Q2"":4,""Q3"":2,""Q4"":0}"
"","8257","survey-text","67","2078027","0.0-5.0","040","","","{""Q0"":""yes""}"
"","4628","survey-text","68","2082657","0.0-6.0","040","","","{""Q0"":""yes""}"
"","7856","survey-text","69","2090512","0.0-7.0","040","","","{""Q0"":""no""}"
