"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":857},{""page_index"":1,""viewing_time"":15072}]","15929","instructions","0","15934","0.0-0.0","074","","",""
"","5661","audio-button-response","1","21598","0.0-1.0","074","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":21159}]","21159","instructions","2","42758","0.0-2.0","074","","",""
"","null","audio-button-response","3","80094","0.0-3.0-0.0","074","sound/takeYouAb_Lyrics_04.mp3","null",""
"","29322","survey-likert","4","109419","0.0-3.0-1.0","074","","","{""Q0"":6,""Q1"":5,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","141043","0.0-3.0-0.1","074","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","23138","survey-likert","6","164183","0.0-3.0-1.1","074","","","{""Q0"":5,""Q1"":5,""Q2"":6,""Q3"":2,""Q4"":0}"
"","null","audio-button-response","7","198583","0.0-3.0-0.2","074","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","19625","survey-likert","8","218209","0.0-3.0-1.2","074","","","{""Q0"":1,""Q1"":4,""Q2"":7,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","9","254062","0.0-3.0-0.3","074","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","25344","survey-likert","10","279407","0.0-3.0-1.3","074","","","{""Q0"":1,""Q1"":6,""Q2"":5,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","11","318222","0.0-3.0-0.4","074","sound/thatsAll_Melody_31.mp3","null",""
"","20919","survey-likert","12","339143","0.0-3.0-1.4","074","","","{""Q0"":6,""Q1"":5,""Q2"":1,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","13","373453","0.0-3.0-0.5","074","sound/goognightMoon_Melody_25.mp3","null",""
"","17233","survey-likert","14","390687","0.0-3.0-1.5","074","","","{""Q0"":0,""Q1"":6,""Q2"":6,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","15","428023","0.0-3.0-0.6","074","sound/silentMoon_Lyrics_10.mp3","null",""
"","19741","survey-likert","16","447767","0.0-3.0-1.6","074","","","{""Q0"":3,""Q1"":7,""Q2"":4,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","486585","0.0-3.0-0.7","074","sound/thatsAll_Lyrics_15.mp3","null",""
"","20036","survey-likert","18","506622","0.0-3.0-1.7","074","","","{""Q0"":7,""Q1"":4,""Q2"":4,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","19","543966","0.0-3.0-0.8","074","sound/bambi_Lyrics_08.mp3","null",""
"","14478","survey-likert","20","558446","0.0-3.0-1.8","074","","","{""Q0"":3,""Q1"":6,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","21","589852","0.0-3.0-0.9","074","sound/theCrucifixion_Melody_21.mp3","null",""
"","11977","survey-likert","22","601831","0.0-3.0-1.9","074","","","{""Q0"":0,""Q1"":5,""Q2"":6,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","23","636395","0.0-3.0-0.10","074","sound/theCage_Lyrics_14.mp3","null",""
"","14379","survey-likert","24","650775","0.0-3.0-1.10","074","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","25","688120","0.0-3.0-0.11","074","sound/dream_Melody_27.mp3","null",""
"","13708","survey-likert","26","701830","0.0-3.0-1.11","074","","","{""Q0"":3,""Q1"":6,""Q2"":4,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","27","734722","0.0-3.0-0.12","074","sound/owlAPussyCat_Lyrics_02.mp3","null",""
