"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":3699},{""page_index"":1,""viewing_time"":4174}]","7874","instructions","0","7880","0.0-0.0","083","","",""
"","5966","audio-button-response","1","13848","0.0-1.0","083","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":22110}]","22110","instructions","2","35960","0.0-2.0","083","","",""
"","null","audio-button-response","3","64398","0.0-3.0-0.0","083","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","37051","survey-likert","4","101451","0.0-3.0-1.0","083","","","{""Q0"":5,""Q1"":8,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","138826","0.0-3.0-0.1","083","sound/dream_Melody_27.mp3","null",""
"","25226","survey-likert","6","164057","0.0-3.0-1.1","083","","","{""Q0"":1,""Q1"":2,""Q2"":7,""Q3"":4,""Q4"":0}"
"","null","audio-button-response","7","202859","0.0-3.0-0.2","083","sound/thatsAll_Lyrics_15.mp3","null",""
"","27659","survey-likert","8","230520","0.0-3.0-1.2","083","","","{""Q0"":4,""Q1"":0,""Q2"":2,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","9","261934","0.0-3.0-0.3","083","sound/onMusic_Melody_17.mp3","null",""
"","15257","survey-likert","10","277193","0.0-3.0-1.3","083","","","{""Q0"":0,""Q1"":0,""Q2"":4,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","11","313039","0.0-3.0-0.4","083","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","16256","survey-likert","12","329296","0.0-3.0-1.4","083","","","{""Q0"":6,""Q1"":7,""Q2"":1,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","13","362173","0.0-3.0-0.5","083","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","12936","survey-likert","14","375112","0.0-3.0-1.5","083","","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","15","406739","0.0-3.0-0.6","083","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","18427","survey-likert","16","425167","0.0-3.0-1.6","083","","","{""Q0"":0,""Q1"":0,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","17","456580","0.0-3.0-0.7","083","sound/theCrucifixion_Melody_21.mp3","null",""
"","17755","survey-likert","18","474336","0.0-3.0-1.7","083","","","{""Q0"":0,""Q1"":6,""Q2"":8,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","19","508727","0.0-3.0-0.8","083","sound/willowSong_Lyrics_06.mp3","null",""
"","24559","survey-likert","20","533288","0.0-3.0-1.8","083","","","{""Q0"":0,""Q1"":1,""Q2"":6,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","21","567653","0.0-3.0-0.9","083","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","20512","survey-likert","22","588168","0.0-3.0-1.9","083","","","{""Q0"":1,""Q1"":7,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","23","622488","0.0-3.0-0.10","083","sound/goognightMoon_Melody_25.mp3","null",""
"","23967","survey-likert","24","646457","0.0-3.0-1.10","083","","","{""Q0"":0,""Q1"":3,""Q2"":5,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","25","685295","0.0-3.0-0.11","083","sound/thatsAll_Melody_31.mp3","null",""
"","19630","survey-likert","26","704927","0.0-3.0-1.11","083","","","{""Q0"":7,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","27","742272","0.0-3.0-0.12","083","sound/bambi_Lyrics_08.mp3","null",""
"","21444","survey-likert","28","763719","0.0-3.0-1.12","083","","","{""Q0"":1,""Q1"":0,""Q2"":6,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","29","799577","0.0-3.0-0.13","083","sound/toThisWeveCome_Melody_29.mp3","null",""
"","12988","survey-likert","30","812567","0.0-3.0-1.13","083","","","{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","31","849921","0.0-3.0-0.14","083","sound/silentMoon_Lyrics_10.mp3","null",""
"","16261","survey-likert","32","866183","0.0-3.0-1.14","083","","","{""Q0"":1,""Q1"":2,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","33","900733","0.0-3.0-0.15","083","sound/theCage_Lyrics_14.mp3","null",""
"","17936","survey-likert","34","918671","0.0-3.0-1.15","083","","","{""Q0"":0,""Q1"":0,""Q2"":5,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","35","956018","0.0-3.0-0.16","083","sound/takeYouAb_Lyrics_04.mp3","null",""
"","9915","survey-likert","36","965935","0.0-3.0-1.16","083","","","{""Q0"":7,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","37","1000483","0.0-4.0-0.0","083","sound/theCage_Melody_30.mp3","null",""
"","16113","survey-likert","38","1016598","0.0-4.0-1.0","083","","","{""Q0"":0,""Q1"":0,""Q2"":3,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","39","1052459","0.0-4.0-0.1","083","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","16021","survey-likert","40","1068482","0.0-4.0-1.1","083","","","{""Q0"":8,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":7}"
"","null","audio-button-response","41","1103054","0.0-4.0-0.2","083","sound/willowSong_Melody_22.mp3","null",""
"","8789","survey-likert","42","1111846","0.0-4.0-1.2","083","","","{""Q0"":0,""Q1"":1,""Q2"":5,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","43","1149193","0.0-4.0-0.3","083","sound/takeYouAb_Melody_20.mp3","null",""
"","10612","survey-likert","44","1159807","0.0-4.0-1.3","083","","","{""Q0"":8,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","45","1188210","0.0-4.0-0.4","083","sound/iWishYouLove_Melody_28.mp3","null",""
"","17274","survey-likert","46","1205487","0.0-4.0-1.4","083","","","{""Q0"":0,""Q1"":6,""Q2"":7,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","47","1242822","0.0-4.0-0.5","083","sound/dream_Lyrics_11.mp3","null",""
