"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":16616},{""page_index"":1,""viewing_time"":2161}]","18778","instructions","0","18787","0.0-0.0","031","","",""
"","14838","audio-button-response","1","33630","0.0-1.0","031","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":10762}]","10762","instructions","2","44395","0.0-2.0","031","","",""
"","null","audio-button-response","3","78776","0.0-3.0-0.0","031","sound/willowSong_Lyrics_06.mp3","null",""
"","30678","survey-likert","4","109461","0.0-3.0-1.0","031","","","{""Q0"":5,""Q1"":4,""Q2"":5,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","5","140888","0.0-3.0-0.1","031","sound/theCrucifixion_Melody_21.mp3","null",""
"","17557","survey-likert","6","158449","0.0-3.0-1.1","031","","","{""Q0"":0,""Q1"":5,""Q2"":8,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","7","195831","0.0-3.0-0.2","031","sound/takeYouAb_Lyrics_04.mp3","null",""
"","17646","survey-likert","8","213481","0.0-3.0-1.2","031","","","{""Q0"":8,""Q1"":3,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","9","247833","0.0-3.0-0.3","031","sound/goognightMoon_Melody_25.mp3","null",""
"","21988","survey-likert","10","269824","0.0-3.0-1.3","031","","","{""Q0"":1,""Q1"":5,""Q2"":7,""Q3"":1,""Q4"":2}"
"","null","audio-button-response","11","301235","0.0-3.0-0.4","031","sound/onMusic_Melody_17.mp3","null",""
"","16817","survey-likert","12","318056","0.0-3.0-1.4","031","","","{""Q0"":5,""Q1"":1,""Q2"":4,""Q3"":2,""Q4"":1}"
"","null","audio-button-response","13","355447","0.0-3.0-0.5","031","sound/bambi_Lyrics_08.mp3","null",""
"","20641","survey-likert","14","376131","0.0-3.0-1.5","031","","","{""Q0"":4,""Q1"":1,""Q2"":7,""Q3"":3,""Q4"":0}"
"","null","audio-button-response","15","404575","0.0-3.0-0.6","031","sound/iWishYouLove_Lyrics_12.mp3","null",""
"","18128","survey-likert","16","422707","0.0-3.0-1.6","031","","","{""Q0"":2,""Q1"":8,""Q2"":4,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","17","458588","0.0-3.0-0.7","031","sound/dancinInTheMoonlightC_Melody_19.mp3","null",""
"","15099","survey-likert","18","473692","0.0-3.0-1.7","031","","","{""Q0"":7,""Q1"":7,""Q2"":0,""Q3"":2,""Q4"":4}"
"","null","audio-button-response","19","508071","0.0-3.0-0.8","031","sound/everyTimeWeSayGoodbye_Melody_23.mp3","null",""
"","14371","survey-likert","20","522444","0.0-3.0-1.8","031","","","{""Q0"":0,""Q1"":5,""Q2"":5,""Q3"":5,""Q4"":6}"
"","null","audio-button-response","21","559820","0.0-3.0-0.9","031","sound/dream_Melody_27.mp3","null",""
"","14946","survey-likert","22","574770","0.0-3.0-1.9","031","","","{""Q0"":1,""Q1"":2,""Q2"":5,""Q3"":5,""Q4"":6}"
"","null","audio-button-response","23","606468","0.0-3.0-0.10","031","sound/noMoreMissNice_Lyrics_16.mp3","null",""
"","18294","survey-likert","24","624764","0.0-3.0-1.10","031","","","{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":8,""Q4"":5}"
"","null","audio-button-response","25","657672","0.0-3.0-0.11","031","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","12748","survey-likert","26","670424","0.0-3.0-1.11","031","","","{""Q0"":6,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","27","707833","0.0-3.0-0.12","031","sound/silentMoon_Lyrics_10.mp3","null",""
"","7845","survey-likert","28","715682","0.0-3.0-1.12","031","","","{""Q0"":6,""Q1"":8,""Q2"":1,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","29","751579","0.0-3.0-0.13","031","sound/toThisWeveCome_Melody_29.mp3","null",""
"","10868","survey-likert","30","762450","0.0-3.0-1.13","031","","","{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":8,""Q4"":2}"
"","null","audio-button-response","31","797030","0.0-3.0-0.14","031","sound/theCage_Lyrics_14.mp3","null",""
"","14648","survey-likert","32","811681","0.0-3.0-1.14","031","","","{""Q0"":1,""Q1"":0,""Q2"":4,""Q3"":5,""Q4"":0}"
"","null","audio-button-response","33","850503","0.0-3.0-0.15","031","sound/thatsAll_Melody_31.mp3","null",""
"","11531","survey-likert","34","862077","0.0-3.0-1.15","031","","","{""Q0"":5,""Q1"":1,""Q2"":0,""Q3"":5,""Q4"":6}"
"","null","audio-button-response","35","900913","0.0-3.0-0.16","031","sound/thatsAll_Lyrics_15.mp3","null",""
"","17061","survey-likert","36","917977","0.0-3.0-1.16","031","","","{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":6,""Q4"":2}"
"","null","audio-button-response","37","952526","0.0-4.0-0.0","031","sound/theCage_Melody_30.mp3","null",""
"","13888","survey-likert","38","966417","0.0-4.0-1.0","031","","","{""Q0"":0,""Q1"":4,""Q2"":5,""Q3"":3,""Q4"":1}"
"","null","audio-button-response","39","1002287","0.0-4.0-0.1","031","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","10200","survey-likert","40","1012490","0.0-4.0-1.1","031","","","{""Q0"":0,""Q1"":0,""Q2"":2,""Q3"":8,""Q4"":5}"
"","null","audio-button-response","41","1043892","0.0-4.0-0.2","031","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","9174","survey-likert","42","1053069","0.0-4.0-1.2","031","","","{""Q0"":0,""Q1"":5,""Q2"":8,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","43","1090882","0.0-4.0-0.3","031","sound/takeYouAb_Melody_20.mp3","null",""
"","12558","survey-likert","44","1103442","0.0-4.0-1.3","031","","","{""Q0"":7,""Q1"":4,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","45","1140832","0.0-4.0-0.4","031","sound/silentMoon_Melody_26.mp3","null",""
"","13304","survey-likert","46","1154141","0.0-4.0-1.4","031","","","{""Q0"":0,""Q1"":7,""Q2"":6,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","47","1187074","0.0-4.0-0.5","031","sound/owlAPussyCat_Melody_18.mp3","null",""
"","14076","survey-likert","48","1201155","0.0-4.0-1.5","031","","","{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":5,""Q4"":1}"
"","null","audio-button-response","49","1237037","0.0-4.0-0.6","031","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","10747","survey-likert","50","1247788","0.0-4.0-1.6","031","","","{""Q0"":7,""Q1"":3,""Q2"":0,""Q3"":0,""Q4"":5}"
"","null","audio-button-response","51","1282369","0.0-4.0-0.7","031","sound/willowSong_Melody_22.mp3","null",""
"","14007","survey-likert","52","1296378","0.0-4.0-1.7","031","","","{""Q0"":1,""Q1"":8,""Q2"":2,""Q3"":2,""Q4"":2}"
"","null","audio-button-response","53","1327849","0.0-4.0-0.8","031","sound/onMusic_Lyrics_01.mp3","null",""
"","11859","survey-likert","54","1339711","0.0-4.0-1.8","031","","","{""Q0"":6,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","55","1374113","0.0-4.0-0.9","031","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","11069","survey-likert","56","1385184","0.0-4.0-1.9","031","","","{""Q0"":0,""Q1"":5,""Q2"":8,""Q3"":1,""Q4"":1}"
"","null","audio-button-response","57","1422542","0.0-4.0-0.10","031","sound/bambi_Melody_24.mp3","null",""
"","10384","survey-likert","58","1432929","0.0-4.0-1.10","031","","","{""Q0"":5,""Q1"":1,""Q2"":4,""Q3"":5,""Q4"":5}"
"","null","audio-button-response","59","1461378","0.0-4.0-0.11","031","sound/iWishYouLove_Melody_28.mp3","null",""
"","10638","survey-likert","60","1472018","0.0-4.0-1.11","031","","","{""Q0"":0,""Q1"":7,""Q2"":6,""Q3"":1,""Q4"":4}"
"","null","audio-button-response","61","1509388","0.0-4.0-0.12","031","sound/dream_Lyrics_11.mp3","null",""
"","12043","survey-likert","62","1521434","0.0-4.0-1.12","031","","","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":2}"
