"","subject","rt","Happy","Calm","Sad","AngryStressful","Familiar","title","Condition","Track_ID"
"1",1,25444,8,6,1,1,3,"dancinInTheMoonlightC","Lyrics",3
"2",1,19849,3,8,2,1,1,"iWishYouLove","Melody",28
"3",1,19147,7,7,4,1,2,"bambi","Melody",24
"4",1,21237,3,8,3,1,2,"goognightMoon","Lyrics",9
"5",1,15275,8,8,4,1,1,"silentMoon","Melody",26
"6",1,51021,4,8,9,1,6,"dream","Lyrics",11
"7",1,14538,8,3,6,1,6,"onMusic","Lyrics",1
"8",1,22030,2,1,3,7,1,"owlAPussyCat","Melody",18
"9",1,13677,2,7,9,1,3,"everyTimeWeSayGoodbye","Lyrics",7
"10",1,24225,8,3,3,2,1,"willowSong","Melody",22
"11",1,13535,1,1,8,9,6,"toThisWeveCome","Lyrics",13
"12",1,15538,2,2,7,7,2,"theCage","Melody",30
"13",1,17386,9,1,4,8,6,"noMoreMissNice","Melody",32
"14",1,12758,8,7,6,7,6,"takeYouAb","Melody",20
"15",1,12407,1,9,9,6,2,"theCrucifixion","Lyrics",5
"16",1,24218,7,8,9,7,9,"bambi","Lyrics",8
"17",1,15847,3,7,8,2,9,"onMusic","Melody",17
"18",1,14583,4,1,2,8,9,"thatsAll","Lyrics",15
"19",1,8339,8,9,6,1,9,"silentMoon","Lyrics",10
"20",1,11929,2,8,8,1,9,"dancinInTheMoonlightC","Melody",19
"21",1,9470,1,9,9,7,9,"everyTimeWeSayGoodbye","Melody",23
"22",1,9591,1,1,8,8,9,"owlAPussyCat","Lyrics",2
"23",1,13000,3,1,1,9,9,"noMoreMissNice","Lyrics",16
"24",1,7674,9,6,1,1,9,"takeYouAb","Lyrics",4
"25",1,21420,6,9,8,2,9,"dream","Melody",27
"26",1,12702,1,2,9,7,9,"theCage","Lyrics",14
"27",1,13097,1,8,9,7,9,"theCrucifixion","Melody",21
"28",1,18017,2,8,9,3,8,"willowSong","Lyrics",6
"29",1,15176,9,2,1,6,9,"thatsAll","Melody",31
"30",1,9976,8,9,6,1,9,"iWishYouLove","Lyrics",12
"31",1,14245,1,1,9,9,6,"toThisWeveCome","Melody",29
"32",1,11338,1,8,8,1,8,"goognightMoon","Melody",25
"33",2,16977,1,5,9,5,5,"iWishYouLove","Melody",28
"34",2,10279,9,7,1,1,6,"onMusic","Lyrics",1
"35",2,11029,1,1,6,9,5,"toThisWeveCome","Lyrics",13
"36",2,41942,5,9,1,1,7,"goognightMoon","Lyrics",9
"37",2,16434,3,5,5,1,5,"theCage","Melody",30
"38",2,13278,9,9,1,1,5,"dream","Lyrics",11
"39",2,10881,5,5,1,1,5,"willowSong","Melody",22
"40",2,25403,6,6,3,1,7,"takeYouAb","Melody",20
"41",2,13946,1,5,9,1,7,"everyTimeWeSayGoodbye","Lyrics",7
"42",2,17371,1,9,9,1,1,"theCrucifixion","Lyrics",5
"43",2,15340,1,1,5,7,9,"noMoreMissNice","Melody",32
"44",2,19084,6,7,1,1,2,"dancinInTheMoonlightC","Lyrics",3
"45",2,21439,5,8,9,1,9,"silentMoon","Melody",26
"46",2,26864,5,9,5,1,9,"bambi","Melody",24
"47",2,11372,1,1,5,7,9,"owlAPussyCat","Melody",18
"48",2,15868,5,9,3,1,4,"silentMoon","Lyrics",10
"49",2,11136,1,9,9,1,9,"dream","Melody",27
"50",2,18071,2,4,8,1,9,"dancinInTheMoonlightC","Melody",19
"51",2,11640,5,1,1,1,2,"thatsAll","Melody",31
"52",2,11957,1,1,1,9,3,"thatsAll","Lyrics",15
"53",2,44471,5,5,2,1,1,"takeYouAb","Lyrics",4
"54",2,11532,1,9,9,1,9,"theCrucifixion","Melody",21
"55",2,44537,1,5,1,1,1,"owlAPussyCat","Lyrics",2
"56",2,17501,5,8,6,1,1,"willowSong","Lyrics",6
"57",2,41738,5,8,9,1,9,"onMusic","Melody",17
"58",2,11592,1,9,6,1,1,"theCage","Lyrics",14
"59",2,28494,1,1,9,6,9,"toThisWeveCome","Melody",29
"60",2,43033,7,9,1,1,3,"iWishYouLove","Lyrics",12
"61",2,15455,1,1,1,9,3,"noMoreMissNice","Lyrics",16
"62",2,38890,1,1,7,5,9,"everyTimeWeSayGoodbye","Melody",23
"63",2,16602,3,1,9,6,6,"bambi","Lyrics",8
"64",2,12633,1,6,9,1,9,"goognightMoon","Melody",25
"65",3,36014,2,2,5,7,7,"theCage","Melody",30
"66",3,30023,6,6,4,5,2,"silentMoon","Melody",26
"67",3,25953,8,3,1,1,5,"takeYouAb","Melody",20
"68",3,29077,4,4,3,5,3,"everyTimeWeSayGoodbye","Lyrics",7
"69",3,23488,3,3,6,6,1,"owlAPussyCat","Melody",18
"70",3,25602,4,6,6,5,5,"goognightMoon","Lyrics",9
"71",3,34024,6,4,6,6,4,"willowSong","Melody",22
"72",3,25248,3,4,7,6,3,"iWishYouLove","Melody",28
"73",3,27869,5,5,6,6,2,"dream","Lyrics",11
"74",3,19740,1,7,8,6,1,"theCrucifixion","Lyrics",5
"75",3,18562,6,7,5,2,2,"onMusic","Lyrics",1
"76",3,13875,1,1,8,8,5,"toThisWeveCome","Lyrics",13
"77",3,28484,6,5,6,6,3,"noMoreMissNice","Melody",32
"78",3,18816,7,6,3,4,4,"bambi","Melody",24
"79",3,15949,6,6,5,5,5,"dancinInTheMoonlightC","Lyrics",3
"80",3,9785,7,6,5,5,5,"dancinInTheMoonlightC","Melody",19
"81",3,15186,3,4,8,8,7,"theCrucifixion","Melody",21
"82",3,11263,1,2,8,9,8,"toThisWeveCome","Melody",29
"83",3,14275,6,5,6,6,4,"willowSong","Lyrics",6
"84",3,12215,6,4,6,6,3,"thatsAll","Lyrics",15
"85",3,10606,6,5,6,6,5,"thatsAll","Melody",31
"86",3,14189,5,4,6,6,2,"owlAPussyCat","Lyrics",2
"87",3,14702,6,6,5,6,4,"onMusic","Melody",17
"88",3,10531,6,7,6,6,3,"dream","Melody",27
"89",3,11827,5,6,7,6,5,"iWishYouLove","Lyrics",12
"90",3,13205,5,4,6,6,2,"noMoreMissNice","Lyrics",16
"91",3,14109,5,3,6,6,1,"theCage","Lyrics",14
"92",3,10834,7,5,5,5,6,"takeYouAb","Lyrics",4
"93",3,12111,5,7,7,6,3,"goognightMoon","Melody",25
"94",3,10407,5,4,6,6,3,"bambi","Lyrics",8
"95",3,10785,6,7,6,5,5,"everyTimeWeSayGoodbye","Melody",23
"96",3,11708,5,6,6,6,6,"silentMoon","Lyrics",10
"97",4,23543,5,6,5,2,5,"onMusic","Melody",17
"98",4,16203,5,5,5,3,8,"thatsAll","Lyrics",15
"99",4,18429,3,4,5,3,1,"dream","Melody",27
"100",4,16927,2,2,5,6,1,"theCage","Lyrics",14
"101",4,10660,5,7,6,3,1,"everyTimeWeSayGoodbye","Melody",23
"102",4,12333,3,4,6,6,1,"toThisWeveCome","Melody",29
"103",4,13140,5,4,5,3,3,"noMoreMissNice","Lyrics",16
"104",4,11227,5,6,5,2,3,"bambi","Lyrics",8
"105",4,14953,5,5,6,3,2,"dancinInTheMoonlightC","Melody",19
"106",4,11620,6,5,5,1,5,"takeYouAb","Lyrics",4
"107",4,11434,4,4,7,5,1,"willowSong","Lyrics",6
"108",4,14283,3,6,2,5,1,"theCrucifixion","Melody",21
"109",4,13248,7,5,7,1,1,"iWishYouLove","Lyrics",12
"110",4,10593,6,6,6,1,1,"silentMoon","Lyrics",10
"111",4,13524,4,4,6,2,1,"goognightMoon","Melody",25
"112",4,10667,5,5,5,5,1,"owlAPussyCat","Lyrics",2
"113",4,18378,6,5,5,5,8,"thatsAll","Melody",31
"114",4,9400,5,5,5,5,6,"takeYouAb","Melody",20
"115",4,13760,5,5,5,6,1,"owlAPussyCat","Melody",18
"116",4,13067,5,5,5,5,7,"noMoreMissNice","Melody",32
"117",4,10008,4,6,6,4,2,"onMusic","Lyrics",1
"118",4,12354,6,6,4,4,8,"dancinInTheMoonlightC","Lyrics",3
"119",4,11998,3,5,6,6,1,"theCage","Melody",30
"120",4,10237,5,6,6,4,6,"goognightMoon","Lyrics",9
"121",4,14014,4,5,6,3,6,"dream","Lyrics",11
"122",4,10447,3,3,7,7,7,"toThisWeveCome","Lyrics",13
"123",4,8763,5,7,7,1,1,"everyTimeWeSayGoodbye","Lyrics",7
"124",4,11993,5,9,7,1,2,"iWishYouLove","Melody",28
"125",4,12947,3,6,7,2,1,"theCrucifixion","Lyrics",5
"126",4,8858,7,6,3,3,8,"bambi","Melody",24
"127",4,19320,5,7,6,2,1,"willowSong","Melody",22
"128",4,7507,5,5,6,3,6,"silentMoon","Melody",26
"129",5,22414,5,9,5,1,1,"iWishYouLove","Lyrics",12
"130",5,14146,9,9,1,1,1,"theCrucifixion","Melody",21
"131",5,12827,7,4,1,1,1,"theCage","Lyrics",14
"132",5,6181,9,4,1,1,1,"silentMoon","Lyrics",10
"133",5,7882,9,4,1,1,1,"thatsAll","Lyrics",15
"134",5,11651,9,5,1,1,1,"bambi","Lyrics",8
"135",5,11247,9,4,1,1,1,"takeYouAb","Lyrics",4
"136",5,6771,9,4,1,1,1,"noMoreMissNice","Lyrics",16
"137",5,7993,9,1,1,1,1,"onMusic","Melody",17
"138",5,8758,5,1,1,1,1,"dream","Melody",27
"139",5,8701,6,5,1,1,1,"dancinInTheMoonlightC","Melody",19
"140",5,14280,1,1,1,6,1,"toThisWeveCome","Melody",29
"141",5,8844,1,1,1,1,1,"willowSong","Lyrics",6
"142",5,13332,1,1,6,1,1,"goognightMoon","Melody",25
"143",5,6720,1,1,5,1,1,"everyTimeWeSayGoodbye","Melody",23
"144",5,8093,9,6,1,1,1,"thatsAll","Melody",31
"145",5,10277,6,5,1,1,1,"owlAPussyCat","Lyrics",2
"146",5,9576,6,1,1,1,1,"bambi","Melody",24
"147",5,7302,5,5,5,1,1,"everyTimeWeSayGoodbye","Lyrics",7
"148",5,8610,1,1,1,6,1,"toThisWeveCome","Lyrics",13
"149",5,8280,1,1,1,1,1,"goognightMoon","Lyrics",9
"150",5,10376,7,1,1,1,1,"onMusic","Lyrics",1
"151",5,7556,1,1,6,1,1,"silentMoon","Melody",26
"152",5,6979,1,1,1,1,1,"theCage","Melody",30
"153",5,5083,1,1,1,1,1,"theCrucifixion","Lyrics",5
"154",5,6320,1,1,1,1,1,"iWishYouLove","Melody",28
"155",5,6726,1,1,1,1,1,"dream","Lyrics",11
"156",5,9442,5,1,1,1,1,"owlAPussyCat","Melody",18
"157",5,8002,6,1,1,1,1,"dancinInTheMoonlightC","Lyrics",3
"158",5,7770,6,1,1,1,1,"noMoreMissNice","Melody",32
