"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"29022","32","text","0","29030","0.0-0.0","218",""
"10268","32","text","1","40303","0.0-1.0","218",""
"5067","32","text","2","46380","0.0-2.0","218",""
"37530","","survey-likert","3","84969","0.0-3.0","218","{""Q0"":""6"",""Q1"":""6"",""Q2"":""4"",""Q3"":""6"",""Q4"":""6"",""Q5"":""5"",""Q6"":""6"",""Q7"":""6"",""Q8"":""0"",""Q9"":""6""}"
"120570","","survey-likert","4","206578","0.0-4.0","218","{""Q0"":""0"",""Q1"":""6"",""Q2"":""1"",""Q3"":""0"",""Q4"":""5"",""Q5"":""6"",""Q6"":""0"",""Q7"":""6"",""Q8"":""6"",""Q9"":""6""}"
"68386","","survey-likert","5","276002","0.0-5.0","218","{""Q0"":""0"",""Q1"":""6"",""Q2"":""0"",""Q3"":""6"",""Q4"":""0"",""Q5"":""6"",""Q6"":""0"",""Q7"":""6"",""Q8"":""6"",""Q9"":""1"",""Q10"":""6""}"
"74746","","survey-likert","6","351767","0.0-6.0","218","{""Q0"":""5"",""Q1"":""5"",""Q2"":""6"",""Q3"":""5"",""Q4"":""5"",""Q5"":""2"",""Q6"":""3""}"
"6923","","survey-text","7","359713","0.0-7.0","218","{""Q0"":""voice\n""}"
"7809","32","text","8","368526","0.0-8.0","218",""
"35440","","survey-likert","9","404995","0.0-9.0","218","{""Q0"":""6"",""Q1"":""2"",""Q2"":""0"",""Q3"":""2"",""Q4"":""6"",""Q5"":""4"",""Q6"":""6"",""Q7"":""0"",""Q8"":""4"",""Q9"":""6"",""Q10"":""6"",""Q11"":""4"",""Q12"":""5"",""Q13"":""6""}"
"37511","","survey-likert","10","443526","0.0-10.0","218","{""Q0"":""4"",""Q1"":""7"",""Q2"":""7""}"
"61179","","survey-likert","11","505734","0.0-11.0","218","{""Q0"":""1"",""Q1"":""3"",""Q2"":""2"",""Q3"":""1"",""Q4"":""3"",""Q5"":""1"",""Q6"":""1"",""Q7"":""3"",""Q8"":""2""}"
"18617","","survey-text","12","525369","0.0-12.0","218","{""Q0"":""19"",""Q1"":""FEMALE""}"
"3473","","survey-likert","13","529850","0.0-13.0","218","{""Q0"":""1""}"
"7595","","survey-text","14","538455","0.0-14.0","218","{""Q0"":""n/a""}"
"16691","32","text","15","556155","0.0-15.0","218",""
