"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"31722","32","text","0","31723","0.0-0.0","086",""
"11740","71","text","1","44479","0.0-1.0","086",""
"9101","32","text","2","54589","0.0-2.0","086",""
"77926","","survey-likert","3","133530","0.0-3.0","086","{""Q0"":""4"",""Q1"":""4"",""Q2"":""1"",""Q3"":""3"",""Q4"":""2"",""Q5"":""5"",""Q6"":""1"",""Q7"":""3"",""Q8"":""1"",""Q9"":""3""}"
"75308","","survey-likert","4","209862","0.0-4.0","086","{""Q0"":""3"",""Q1"":""4"",""Q2"":""3"",""Q3"":""5"",""Q4"":""5"",""Q5"":""5"",""Q6"":""3"",""Q7"":""4"",""Q8"":""3"",""Q9"":""5""}"
"78903","","survey-likert","5","289782","0.0-5.0","086","{""Q0"":""5"",""Q1"":""5"",""Q2"":""1"",""Q3"":""5"",""Q4"":""3"",""Q5"":""5"",""Q6"":""5"",""Q7"":""4"",""Q8"":""0"",""Q9"":""0"",""Q10"":""6""}"
"62843","","survey-likert","6","353638","0.0-6.0","086","{""Q0"":""1"",""Q1"":""0"",""Q2"":""6"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""2""}"
"9130","","survey-text","7","363781","0.0-7.0","086","{""Q0"":""none really""}"
"3662","32","text","8","368461","0.0-8.0","086",""
"84159","","survey-likert","9","453633","0.0-9.0","086","{""Q0"":""6"",""Q1"":""5"",""Q2"":""4"",""Q3"":""6"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6"",""Q7"":""0"",""Q8"":""3"",""Q9"":""5"",""Q10"":""3"",""Q11"":""5"",""Q12"":""0"",""Q13"":""5""}"
"26912","","survey-likert","10","481565","0.0-10.0","086","{""Q0"":""2"",""Q1"":""5"",""Q2"":""7""}"
"38093","","survey-likert","11","520678","0.0-11.0","086","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"10466","","survey-text","12","532157","0.0-12.0","086","{""Q0"":""19"",""Q1"":""MALE""}"
"5002","","survey-likert","13","538172","0.0-13.0","086","{""Q0"":""1""}"
"4211","","survey-text","14","543404","0.0-14.0","086","{""Q0"":""""}"
"10132","32","text","15","554549","0.0-15.0","086",""
