"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"12521","32","text","0","12521","0.0-0.0","002",""
"5240","32","text","1","18768","0.0-1.0","002",""
"5601","32","text","2","25387","0.0-2.0","002",""
"41876","","survey-likert","3","68288","0.0-3.0","002","{""Q0"":""6"",""Q1"":""5"",""Q2"":""1"",""Q3"":""3"",""Q4"":""6"",""Q5"":""6"",""Q6"":""6"",""Q7"":""4"",""Q8"":""6"",""Q9"":""6""}"
"72685","","survey-likert","4","141991","0.0-4.0","002","{""Q0"":""2"",""Q1"":""5"",""Q2"":""0"",""Q3"":""4"",""Q4"":""6"",""Q5"":""6"",""Q6"":""0"",""Q7"":""6"",""Q8"":""6"",""Q9"":""6""}"
"44766","","survey-likert","5","187775","0.0-5.0","002","{""Q0"":""6"",""Q1"":""6"",""Q2"":""0"",""Q3"":""6"",""Q4"":""0"",""Q5"":""6"",""Q6"":""6"",""Q7"":""6"",""Q8"":""6"",""Q9"":""6"",""Q10"":""6""}"
"44053","","survey-likert","6","232854","0.0-6.0","002","{""Q0"":""0"",""Q1"":""1"",""Q2"":""2"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""4""}"
"6305","","survey-text","7","240166","0.0-7.0","002","{""Q0"":""voice""}"
"5005","78","text","8","246181","0.0-8.0","002",""
"37009","","survey-likert","9","284215","0.0-9.0","002","{""Q0"":""3"",""Q1"":""5"",""Q2"":""4"",""Q3"":""2"",""Q4"":""0"",""Q5"":""6"",""Q6"":""6"",""Q7"":""4"",""Q8"":""1"",""Q9"":""3"",""Q10"":""3"",""Q11"":""5"",""Q12"":""0"",""Q13"":""5""}"
"35566","","survey-likert","10","320805","0.0-10.0","002","{""Q0"":""2"",""Q1"":""5"",""Q2"":""5""}"
"21434","","survey-likert","11","343255","0.0-11.0","002","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"7816","","survey-text","12","352086","0.0-12.0","002","{""Q0"":""19"",""Q1"":""F""}"
"3787","","survey-likert","13","356877","0.0-13.0","002","{""Q0"":""1""}"
"3161","","survey-text","14","361060","0.0-14.0","002","{""Q0"":""""}"
"21666","32","text","15","383741","0.0-15.0","002",""
