"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"[{""page_index"":0,""viewing_time"":2772},{""page_index"":1,""viewing_time"":5799},{""page_index"":2,""viewing_time"":1334}]","9906","instructions","0","9946","0.0-0.0","204",""
"","48722","survey-likert","1","58677","0.0-1.0","204","{""Q0"":6,""Q1"":6,""Q2"":2,""Q3"":1,""Q4"":6,""Q5"":6,""Q6"":6,""Q7"":5,""Q8"":1,""Q9"":5}"
"","69194","survey-likert","2","127878","0.0-2.0","204","{""Q0"":0,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":5,""Q5"":6,""Q6"":5,""Q7"":6,""Q8"":5,""Q9"":6}"
"","59351","survey-likert","3","187235","0.0-3.0","204","{""Q0"":1,""Q1"":6,""Q2"":0,""Q3"":6,""Q4"":2,""Q5"":6,""Q6"":0,""Q7"":5,""Q8"":6,""Q9"":4,""Q10"":6}"
"","83413","survey-likert","4","270655","0.0-4.0","204","{""Q0"":6,""Q1"":5,""Q2"":2,""Q3"":4,""Q4"":6,""Q5"":5,""Q6"":3}"
"","58297","survey-likert","5","328958","0.0-5.0","204","{""Q0"":1,""Q1"":0,""Q2"":2,""Q3"":4}"
"","8235","survey-text","6","337195","0.0-6.0","204","{""Q0"":""Marimba""}"
"","4827","survey-text","7","342023","0.0-7.0","204","{""Q0"":""20""}"
"","7812","survey-text","8","349836","0.0-8.0","204","{""Q0"":""Male""}"
"","16753","survey-text","9","366591","0.0-9.0","204","{""Q0"":""United States of America""}"
"","9318","survey-text","10","375911","0.0-10.0","204","{""Q0"":""United States of America""}"
"","7922","survey-text","11","383835","0.0-11.0","204","{""Q0"":""United States of America""}"
